id,n1,n2,n3,n4,n5,n6,sp
111022,23,24,30,42,44,46,48
111023,18,23,26,27,40,42,3
111024,16,20,36,39,47,48,35
111025,3,21,22,34,37,40,5
111026,17,18,21,26,38,49,20
111027,7,17,19,24,31,45,38
111028,1,3,18,29,30,31,26
111029,13,14,16,19,30,44,20
111030,3,4,8,15,21,24,29
111031,1,31,33,37,46,47,36
111032,2,15,21,26,42,44,45
111033,7,21,26,36,43,49,16
111034,14,17,22,45,47,49,26
111035,16,21,24,27,29,43,41
111036,3,10,11,20,34,38,4
111037,8,15,24,27,31,33,13
111038,10,15,19,29,31,44,23
111039,14,17,18,22,40,42,37
111040,2,9,11,14,15,30,22
111041,4,5,18,20,30,41,23
111042,3,28,32,36,47,49,16
111043,12,31,32,42,43,49,36
111044,12,14,18,25,44,48,45
111045,14,16,18,19,21,23,3
111046,1,5,19,28,45,49,29
111047,2,11,20,24,32,48,27
111048,10,24,27,36,37,48,29
111049,9,22,28,29,34,37,36
111050,5,8,12,22,42,49,46
111051,4,19,24,35,45,46,2
111052,4,11,18,37,39,46,27
111053,10,11,17,25,27,28,31
111054,4,11,39,42,43,48,44
111055,4,17,18,19,31,44,46
111056,5,10,13,28,29,38,34
111057,3,9,20,28,29,47,35
111058,7,11,28,30,46,47,48
111059,3,14,20,34,41,44,43
111060,3,18,26,29,40,43,13
111061,21,24,25,41,42,45,34
111062,14,20,29,32,34,43,2
111063,3,8,26,38,45,47,35
111064,5,9,15,35,40,44,10
111065,7,14,17,20,29,45,30
111066,14,15,27,41,43,49,39
111067,9,16,23,29,40,41,43
111068,11,12,24,30,33,38,31
111069,10,12,17,27,29,39,47
111070,12,18,19,21,33,37,15
111071,2,26,28,29,37,48,5
111072,5,18,21,30,43,46,26
111073,9,11,21,23,30,33,34
111074,4,7,15,21,37,43,5
111075,1,7,11,16,18,31,24
111076,3,4,10,21,28,41,15
111077,6,23,24,25,47,49,5
111078,4,16,17,30,38,42,5
111079,5,8,16,27,35,45,37
111080,20,23,25,36,43,45,38
111081,26,32,35,36,38,49,39
111082,7,15,17,28,36,39,1
111083,7,10,15,21,34,48,38
111084,2,6,7,27,31,44,28
111085,11,13,24,29,35,43,1
111086,2,12,30,31,44,48,46
111087,10,17,28,34,40,43,29
111088,5,12,18,28,34,39,24
111089,13,14,23,34,43,49,44
111090,5,10,15,16,26,30,12
111091,1,3,23,25,42,46,2
111092,1,11,13,25,32,36,30
111093,1,14,27,38,39,47,49
111094,11,20,36,37,42,49,3
111095,18,32,36,43,48,49,23
111096,17,18,19,23,25,32,26
111097,17,24,28,32,34,40,3
111098,11,21,23,30,36,47,6
111099,15,18,37,39,44,47,43
111100,2,10,19,20,36,48,37
111101,19,20,26,29,34,39,4
111102,10,17,27,37,44,45,22
111103,5,13,18,24,27,48,32
111104,14,15,20,26,35,41,36
111105,6,21,34,37,46,49,18
111106,8,22,28,40,41,45,34
111107,10,15,27,32,39,42,28
111108,10,16,22,40,45,48,31
111109,6,9,12,14,33,47,34
111110,6,11,12,40,47,49,28
111111,3,4,12,16,29,32,39
111112,9,13,32,34,35,39,1
111113,3,11,16,21,22,39,4
111114,5,8,14,17,20,46,7
