id,n1,n2,n3,n4,n5,n6,sp
99017,5,6,22,32,34,47,1
99018,2,3,9,33,34,38,45
99019,3,15,21,22,35,38,4
99020,5,7,12,14,16,36,4
99021,18,19,23,31,35,38,22
99022,26,36,37,39,41,46,4
99023,5,8,18,22,29,49,47
99024,11,22,28,35,37,48,49
99025,9,17,19,23,35,36,34
99026,16,37,41,46,47,49,14
99027,1,6,16,21,41,48,12
99028,9,23,27,28,31,41,44
99029,4,5,29,36,40,49,26
99030,12,14,34,42,46,49,25
99031,1,24,30,31,34,40,43
99032,2,7,21,23,32,41,42
99033,3,4,30,45,47,49,27
99034,12,14,16,34,35,48,43
99035,8,35,36,37,39,44,20
99036,4,15,23,32,34,35,18
99037,19,23,28,32,38,49,20
99038,11,13,29,33,42,45,2
99039,3,6,16,21,28,47,18
99040,3,6,14,27,28,33,5
99041,4,12,16,27,44,47,39
99042,1,20,30,32,34,43,3
99043,3,18,19,20,26,43,10
99044,2,5,15,28,35,40,1
99045,11,15,27,28,37,39,4
99046,8,24,25,40,42,46,10
99047,1,20,21,27,42,43,26
99048,2,4,17,20,27,44,24
99049,2,5,15,20,26,48,8
99050,9,15,26,28,36,42,40
99051,11,24,27,39,46,47,20
99052,1,4,11,18,20,48,5
99053,7,10,20,23,32,45,17
99054,5,11,21,25,43,48,31
99055,11,24,25,32,33,35,23
99056,2,5,8,15,31,34,12
99057,16,17,18,20,32,45,9
99058,5,22,23,27,29,43,47
99059,8,15,22,42,43,49,7
99060,3,15,33,38,44,49,30
99061,8,11,12,14,23,36,45
99062,3,13,15,25,29,49,9
99063,10,19,21,22,28,47,39
99064,3,24,25,28,38,40,11
99065,2,13,22,30,36,48,9
99066,6,14,18,19,20,42,9
99067,8,21,28,33,38,44,27
99068,6,8,30,45,47,48,29
99069,8,14,27,30,42,47,29
99070,4,7,20,23,31,43,47
99071,5,7,18,20,38,47,37
99072,3,4,8,16,41,43,22
99073,10,14,18,41,42,49,24
99074,1,2,19,22,26,44,3
99075,12,13,24,34,35,39,14
99076,1,22,35,38,39,45,8
99077,2,8,29,36,42,44,22
99078,3,4,19,22,32,40,11
99079,8,12,23,37,38,48,20
99080,14,16,21,32,35,43,49
99081,3,11,14,39,41,48,6
99082,8,9,10,20,31,40,25
99083,1,11,20,28,30,46,10
99084,12,21,27,35,36,37,8
99085,1,4,8,13,18,49,3
99086,3,14,22,35,43,44,26
99087,4,13,19,26,27,28,33
99088,4,5,21,34,36,39,28
99089,5,8,13,16,28,47,46
99090,5,7,21,30,31,36,49
99091,3,10,23,36,37,39,15
99092,2,7,10,12,15,43,22
99093,3,6,40,43,44,45,41
99094,2,3,26,30,32,48,41
99095,18,22,23,35,44,49,26
99096,7,8,24,34,36,38,16
99097,17,23,33,38,43,48,19
99098,21,22,30,37,38,49,34
99099,1,17,22,26,29,33,3
99100,15,16,17,20,32,41,8
99101,9,25,28,30,35,41,12
99102,1,12,23,35,38,45,26
99103,16,27,39,43,48,49,1
99104,2,13,17,27,31,36,18
99105,4,9,27,36,38,39,2
100001,14,19,23,35,37,47,42
100002,11,13,34,35,47,49,20
100003,7,10,11,12,14,20,41
100004,16,17,20,32,39,45,46
100005,15,38,40,42,46,47,17
100006,2,32,36,37,39,43,3
100007,12,13,17,21,31,39,20
